a  q aa
konjunktur  k ao n y uh ng k t uh ex
konjunkturprogramm  k ao n y uh ng k t uh ex p rr ooh g rr aa m
konkret  k ao ng k rr ee t
konkrete  k ao ng k rr ee t ax
konkreten  k ao ng k rr ee t ax n
konkreter  k ao ng k rr ee t ex
konkretisiert  k ao ng k rr ee t iy z iy ex t
konkurrent  k ao ng k uh rr eh n t
konkurrenten  k ao ng k uh rr eh n t ax n
konkurrenz  k ao ng k uw rr eh n ts
konkurrenzfähiger  k ao ng k uh rr eh n ts f ee ih g ex
konkurs  k ao ng k uh ex s
konkurse  k ao ng k uh ex z ax
konnt  k ao n t
konnte  k ao n t ax
konnten  k ao n t ax n
konntest  k ao n t ax s t
konntet  k ao n t ax t
konqueror  k ao n k ex rr ex
konrad  k ao n rr aa t
konradin  k ao n rr aa d ih n
konsens  k ao n z ax n s
konsequent  k ao n z ax k v eh n t
konsequente  k ao n z ax k v eh n t ax
konsequenter  k ao n z ax k v eh n t ex
konsequenz  k ao n z ax k v eh n ts
konsequenzen  k ao n z ax k v eh n ts ax n
konservative  k ao n z ex v aa t iy v ax
konservativen  k ao n z eh ex v aa t iy v ax n
konserven  k ao n z eh ex v ax n
konserviert  k ao n z ex v iy ex t
konsistentere  k ao n z ih s t eh n t ex rr ax
konsistorien  k ao n z ih s t ooh rr iy ax n
konsole  k ao n z ooh l ax
konsolen  k ao n z ooh l ax n
konsolidierender  k ao n z ooh l iy d iy rr ax n d ex
konsolidierung  k ao n z ooh l iy d iy rr uh ng
konsolidierungsphase  k ao n z ooh l iy d iy rr uh ng s f aa z ax
konsonanten  k ao n z ooh n aa n t ax n
konsortium  k ao n z ao ex ts iy uh m
konstant  k ao n s t aa n t
konstanten  k ao n sh t aa n t ax n
konstatieren  k ao n s t aa t iy rr ax n
konstitution  k ao n s t iy t uw ts y ooh n
konstitutionell  k ao n s t iy t uw ts y ooh n eh l
konstitutionelle  k ao n s t iy t uw ts y ooh n eh l ax
konstitutiv  k ao n s t iy t uh t iy f
konstruiert  k ao n s t rr uw iy ex t
konstrukt  k ao n s t rr uh k t
konstrukte  k ao n s t rr uh k t ax
konstrukteurstitel  k ao n s t rr uh k t ohh ex s t iy t ax l
konstruktion  k ao n s t rr uh k ts y ooh n
konstruktionen  k ao n s t rr uh k ts y ooh n ax n
konstruktive  k ao n s t rr uh k t iy v ax
konstruktiven  k ao n s t rr uh k t iy v ax n
konsultationen  k ao n z uh l t aa ts y ooh n ax n
konsultationspapier  k ao n z uh l t aa ts y ooh n s p aa p iy ex
konsultationsprozess  k ao n z uh l t aa ts y ooh n s p rr ooh ts eh s
konsultationsprozesses  k ao n z uh l t aa ts y ooh n sh p rr ooh ts ax s ax s
konsultationsverfahren  k ao n z uh l t aa ts y ooh n s f eh ex f aa rr ax n
konsultiert  k ao n z uh l t iy ex t
konsultierte  k ao n z uh l t iy ex t ax
konsum  k ao n s uw m
konsumausgaben  k ao n s uw m q aw s g aa b ax n
konsumenten  k ao n z uw m eh n t ax n
konsumentenpreise  k ao n z uw m eh n t ax n p rr ay z ax
konsumgüter  k ao n s uw m g ue t ex
konsumiert  k ao n z uw m iy ex t
kontakt  k ao n t aa k t
kontaktaufnahme  k ao n t aa k t q aw f n aa m ax
kontakte  k ao n t aa k t ax
kontaktieren  k ao n t aa k t iy rr ax n
kontaktiert  k ao n t aa k t iy ex t
konten  k ao n t ax n
konterrevolution  k ao n t ex rr ee v ooh l uh ts y ooh n
kontext  k ao n t eh k s t
kontextfreie  k ao n t eh k s t f rr ay ax
kontextprüfungen  k ao n t eh k s t p rr ue f uh ng ax n
kontextsensitive  k ao n t eh k s ts ax n z iy t iy v ax
kontinent  k ao n t iy n eh n t
kontinente  k ao n t iy n eh n t ax
kontinenten  k ao n t iy n eh n t ax n
kontinuierlich  k ao n t iy n uw iy ex l ih cc
kontinuierliche  k ao n t iy n uw iy ex l ih cc ax
kontinuierlichen  k ao n t iy n uw iy ex l ih cc ax n
kontinuierlicher  k ao n t iy n uw iy ex l ih cc ex
konto  k ao n t ooh
kontoführenden  k ao n t ooh f ue rr ax n d ax n
kontrahierungszwang  k ao n t rr aa iy rr uh ng s ts v aa ng
kontraproduktiv  k ao n t rr aa p rr ooh d uh k t iy f
kontrast  k ao n t rr aa s t
kontrastierte  k ao n t rr aa s t iy ex t ax
kontrastierten  k ao n t rr aa s t iy ex t ax n
kontrolle  k ao n t rr ao l ax
kontrollen  k ao n t rr ao l ax n
kontrolleure  k ao n t rr ooh l ohh rr ax
kontrollfaktoren  k ao n t rr ao l f aa k t ooh rr ax n
kontrollieren  k ao n t rr ooh l iy rr ax n
kontrolliert  k ao n t rr ao l iy ex t
kontrollmeldungen  k ao n t rr ao l m ax l d uh ng ax n
kontrovers  k ao n t rr ooh v eh ex s
konvenienzen  k ao n v ee n iy eh n ts ax n
konventionellen  k ao n v eh n ts y ooh n eh l ax n
konventioneller  k ao n v eh n ts y ooh n eh l ex
konversation  k ao n v ax s ee ih sh ax n
konversation(1)  k ao n v eh ex z aa ts iy ooh n
konvertieren  k ao n v eh ex t iy rr ax n
konvertiert  k ao n v eh ex t iy ex t
konzentrate  k ao n ts eh n t rr aa t ax
konzentration  k ao n ts eh n t rr aa ts y ooh n
konzentrationslager  k ao n ts eh n t rr aa ts y ooh n s l aa g ex
konzentrieren  k ao n ts eh n t rr iy rr ax n
konzentriert  k ao n ts eh n t rr iy ex t
konzentrierten  k ao n ts eh n t rr iy ex t ax n
konzept  k ao n ts eh p t
konzepte  k ao n ts eh p t ax
konzeptes  k ao n ts eh p t ax s
konzeption  k ao n ts eh p ts y ooh n
konzern  k ao n ts ex n
konzerne  k ao n ts ex n ax
konzernüberschuss  k ao n ts ex n q ue b ex sh uh s
konzert  k ao n ts eh ex t
konzerte  k ao n ts eh ex t ax
konzerten  k ao n ts eh ex t ax n
konzertierung  k ao n ts eh ex t iy rr uh ng
konzessionierten  k ao n ts eh s y ooh n iy ex t ax n
konzessionsabgabe  k ao n ts ax s iy ooh n s aa b g aa b ax
konzipierten  k ao n ts iy p iy ex t ax n
kooperation  k ooh ao p ax rr aa ts y ooh n
kooperieren  k ooh q ao p ax rr iy rr ax n
koordinaten  k ooh q ooh ex d iy n aa t ax n
koordinationsgruppen  k ooh ooh ex d iy n aa ts y ooh n s g rr uh p ax n
koordinator  k ooh ooh ex d iy n aa t ooh ex
koordinatorin  k ooh ooh ex d iy n aa t ooh rr ih n
koordinieren  k ooh q ao ex d iy n iy rr ax n
koordiniert  k ooh ooh ex d iy n iy ex t
koordinierung  k ooh q ao ex d iy n iy rr uh ng
koordinierungsbedarf  k ooh q ao ex d iy n iy rr uh ng s b ax d aa ex f
kopenhagen  k ao p ax n hh aa g ax n
kopete  k ao p ee t ax
kopete(1)  k ooh p iy t
kopf  k ao pf
kopfbedeckung  k ao pf b ax d eh k uh ng
kopfe  k ao pf ax
kopfende  k ao pf q eh n d ax
kopfes  k ao pf ax s
kopfhängerischen  k ao pf hh eh ng ax rr ih sh ax n
kopfkissen  k ao pf k ih s ax n
kopflose  k ao pf l ooh z ax
kopfnerven  k ao pf n eh ex f ax n
kopfnicken  k ao pf n ih k ax n
kopfpolster  k ao pf p ao l s t ex
kopfputz  k ao pf p uh ts
kopfsalat  k ao pf z aa l aa t
kopfschmerzen  k ao pf sh m eh ex ts ax n
kopfschmerzphase  k ao pf sh m eh ex ts f aa z ax
kopfschütteln  k ao pf sh yy t ax l n
kopfschüttelnd  k ao pf sh yy t ax l n d
kopfteil  k ao pf t ay l
kopfweh  k ao pf v ee
kopfwirbel  k ao pf v ih ex b ax l
kopfzahnbürsten  k ao pf ts aa n b yy ex s t ax n
kopien  k ooh p iy n
kopieren  k ao p iy rr ax n
kopiert  k ooh p iy ex t
koppelungen  k ao p ax l uh ng ax n
korallenfarbige  k ooh rr aa l ax n f aa ex b ih g ax
korb  k ooh ex p
kormoranen  k ao ex m ooh rr aa n ax n
kornfelder  k ao ex n f eh l d ex
korporal  k ao ex p ooh rr aa l
korpulenz  k ao ex p uw l eh n ts
korpus  k ooh ex p uh s
korrekt  k ao rr eh k t
korrekte  k ooh rr eh k t ax
korrekten  k ao rr eh k t ax n
korrektes  k ao rr eh k t ax s
korrektheit  k ao rr eh k t hh ay t
korrektur  k ooh rr eh k t uh ex
korrekturen  k ao rr eh k t uw rr ax n
korrespondenzen  k ao rr eh s p ao n d eh n ts ax n
korrespondiert  k ao rr eh s p ao n d iy ex t
korridor  k ooh rr iy d ooh ex
korridore  k ooh rr iy d ooh rr ax
korridoren  k ao rr iy d ooh rr ax n
korrigieren  k ooh rr iy g iy rr ax n
korrigiert  k ooh rr iy g iy ex t
korrosion  k ao rr ooh z y ooh n
korruption  k ooh rr uw p ts y ooh n
korsaren  k ao ex z aa rr ax n
korsarenlied  k ao ex z aa rr ax n l iy t
korsika  k ao ex z iy k aa
koschnick  k ao sh n ih k
kosmetischen  k ao s m ee t ih sh ax n
kosovo  k ao z ooh v ooh
kost  k ao s t
kostbar  k ao s t b aa ex
kostbaren  k ao s t b aa rr ax n
kostbarer  k ao s t b aa rr ex
kostbarsten  k ao s t b aa ex s t ax n
koste  k ooh s t ax
kosten  k ao s t ax n
kostenanstieg  k ao s t ax n q aa n sh t iy k
kostenanteil  k ao s t ax n q aa n t ay l
kostenaufwand  k ao s t ax n q aw f v aa n t
kosteneffektiv  k ao s t ax n q eh f eh k t iy f
kostenfrei  k ao s t ax n f rr ay
kostenintensiv  k ao s t ax n q ih n t eh n z iy f
kostenlos  k ao s t ax n l ooh s
kostenlose  k ao s t ax n l ooh z ax
kostenloser  k ao s t ax n l ooh z ex
kostenloses  k ao s t ax n l ooh z ax s
kostensenkung  k ao s t ax n z eh ng k uh ng
kostet  k ao s t ax t
kostete  k ooh s t ax t ax
kostspielig  k ao s ch p iy l ih cc
kostüm  k ao s t ue m
kostüme  k ao s t ue m ax
kotig  k ooh t ih cc
kotillon  k ao t ih l ooh n
kotillontour  k ooh t ih l ao n t uh ex
kottenforst  k ao t ax n f ao ex s t
kpd  k aa p ee d ee
krabbelnden  k rr aa b ax l n d ax n
krach  k rr aa x
krachen  k rr aa x ax n
kracht  k rr aa x t
krachte  k rr aa x t ax
kraft  k rr aa f t
kraftatmenden  k rr aa f t q aa t m ax n d ax n
kraftfahrzeug  k rr aa f t f aa ex ts oy k
kraftfahrzeugbranche  k rr aa f t f aa ex ts oy k b rr aa zh ax
kraftfahrzeuge  k rr aa f t f aa ex ts oy g ax
kraftfahrzeugsteuer  k rr aa f t f aa ex ts oy k sh t oy ex
kraftomnibussen  k rr aa f t q ao m n ih b uh s ax n
kraftomnibusverkehr  k rr aa f t q ao m n ih b uh s f eh ex k ee ex
kraftomnibusverkehrs  k rr aa f t q ao m n ih b uh s f eh ex k ee ex s
kraftsprühende  k rr aa f ch p rr ue ax n d ax
kraftsprühenden  k rr aa f ch p rr ue ax n d ax n
kraftstoffeffiziente  k rr aa f ch t ao f eh f iy ts y eh n t ax
kraftstoffeffizientere  k rr aa f ch t ao f q eh f iy ts y eh n t ex rr ax
kraftstoffeffizienz  k rr aa f ch t ao f q eh f iy ts y eh n ts
kraftstoffemissionen  k rr aa f ch t ao f eh m ih s y ooh n ax n
kraftstoffmenge  k rr aa f ch t ao f m eh ng ax
kraftstoffpreise  k rr aa f ch t ao f p rr ay z ax
kraftstoffverbrauch  k rr aa f ch t ao f f eh ex b rr aw x
kraftvoll  k rr aa f t f ao l
kraftvolle  k rr aa f t f ao l ax
kraftvoller  k rr aa f t f ao l ex
kraftwerksbau  k rr aa f t v eh ex k s b aw
krakau  k rr aa k aw
krallen  k rr aa l ax n
krallenfinger  k rr aa l ax n f ih ng ex
krampfanfalle  k rr aa m pf q aa n f aa l ax
krampfhaft  k rr aa m pf hh aa f t
krampfhaften  k rr aa m pf hh aa f t ax n
krampfhaftes  k rr aa m pf hh aa f t ax s
kran  k rr aa n
krank  k rr aa ng k
kranke  k rr aa ng k ax
kranken  k rr aa ng k ax n
krankenbett  k rr aa ng k ax n b eh t
krankengemach  k rr aa ng k ax n g ax m aa x
krankenhaus  k rr aa ng k ax n hh aw s
krankenhäuser  k rr aa ng k ax n hh oy z ex
krankenhäusern  k rr aa ng k ax n hh oy z ex n
krankenkasse  k rr aa ng k ax n k aa s ax
krankenkassen  k rr aa ng k ax ng k aa s ax n
krankenversicherung  k rr aa ng k ax n f eh ex z ih cc ex rr uh ng
krankenwärterin  k rr aa ng k ax n v ee ex t ax rr ih n
krankenzimmer  k rr aa ng k ax n ts ih m ex
krankgemeldet  k rr aa ng k g ax m ax l d ax t
krankheit  k rr aa ng k hh ay t
krankheiten  k rr aa ng k hh ay t ax n
krankten  k rr aa ng k t ax n
kranz  k rr aa n ts
krass  k rr aa s
krater  k rr aa t ex
kratzer  k rr aa ts ex
krawtschuk  k rr aa f ch uh k
krayon  k r ee ih ax n
krayons  k r ee ih ax n z
kreativ  k rr ee aa t iy f
kreative  k rr ee aa t iy v ax
kreatives  k rr ee aa t iy v ax s
kreativität  k rr ee aa t iy v iy t ee t
kreatur  k rr ee aa t uw ex
kreaturen  k rr ee aa t uw rr ax n
krebs  k rr ee p s
krebsbekämpfung  k rr ee p s b ax k eh m pf uh ng
kredenz  k rr eh d eh n ts
kredit  k rr ee d iy t
kredite  k rr ee d iy t ax
krediten  k rr ee d iy t ax n
kreditgeber  k rr ee d iy t g ee b ex
kreditinstitut  k rr ee d iy t q ih n s t iy t uw t
kreditinstitute  k rr ee d iy t q ih n s t iy t uw t ax
kreditkartennummer  k rr ee d iy t k aa ex t ax n n uh m ex
kreditnehmer  k rr ee d ih t n ee m ex
kreditvergabe  k rr ee d iy t f eh ex g aa p ax
kreditvertrag  k rr ee d iy t f eh ex t rr aa k
kreditvertrags  k rr ee d iy t f eh ex t rr aa k s
kreditwürdig  k rr ee d ih t v yy ex d ih cc
kreditwürdigkeit  k rr eh d ih t v yy ex d ih cc k ay t
kreideweiß  k rr ay d ax v ay s
kreis  k rr ay s
kreischte  k rr ay sh t ax
kreise  k rr ay z ax
kreisel  k rr ay z ax l
kreisen  k rr ay z ax n
kreises  k rr ay z ax s
kreisfreie  k rr ay s f rr ay ax
kreislauf  k rr ay s l aw f
kreislaufstörungen  k rr ay s l aw f sh t ohh rr uh ng ax n
kreisrätin  k rr ay s rr ee t ih n
kreist  k rr ay s t
kreta  k rr ee t aa
kreuz  k rr oy ts
kreuzen  k rr oy ts ax n
kreuzes  k rr oy ts ax s
kreuzfahrten  k rr oy ts f aa ex t ax n
kreuzfigur  k rr oy ts f iy g uh ex
kreuzgang  k rr oy ts g aa ng
kreuzte  k rr oy ts t ax
kreuzten  k rr oy ts t ax n
kreuzverhör  k rr oy ts f eh ex hh ohh ex
krieche  k rr iy cc ax
kriechen  k rr iy cc ax n
krieg  k rr iy k
kriege  k rr iy g ax
kriegen  k rr iy g ax n
krieges  k rr iy g ax s
kriegsbereit  k rr iy k s b ax rr ay t
kriegserklärung  k rr iy k s q eh ex k l ee rr uh ng
kriegsgefangener  k rr iy k s g ax f aa ng ax n ex
kriegsglück  k rr iy k s g l yy k
kriegsgrund  k rr iy k s g rr uh n t
kriegsverbrecher  k rr iy k s f eh ex b rr eh cc ex
kriegsvölkerrecht  k rr iy k s f oe l k ex rr eh cc t
krimi  k rr ih m iy
krimifestival  k rr ih m iy f ee s t ih v ax l
kriminalfilm  k rr iy m iy n aa l f ih l m
kriminalisiert  k rr iy m iy n aa l iy z iy ex t
kriminalität  k rr iy m iy n aa l iy t ee t
kriminalliteratur  k rr ih m iy n aa l ih t ex rr aa t uw ex
kriminalpolizei  k rr iy m iy n aa l p ooh l iy ts ay
kriminelle  k rr ih m iy n eh l ax
krimineller  k rr iy m iy n eh l ex
krimipreis  k rr iy m iy p rr ay s
krise  k rr iy z ax
krisen  k rr iy z ax n
krisendiagnose  k rr iy z ax n d iy aa g n ooh z ax
krisenherd  k rr iy z ax n hh ee ex t
krisenmanagement  k rr iy z ax n m eh n eh jh m ax n t
krisis  k rr iy z ih s
kristallenen  k rr ih s t aa l ax n ax n
kristalline  k rr ih s t aa l iy n ax
kriterien  k rr iy t ee rr iy ax n
kriterium  k rr iy t ee rr iy uh m
kritik  k rr iy t iy k
kritiken  k rr iy t iy k ax n
kritiker  k rr iy t iy k ex
kritikern  k rr iy t ih k ex n
kritisch  k rr iy t ih sh
kritische  k rr iy t ih sh ax
kritischen  k rr iy t ih sh ax n
kritisieren  k rr iy t ih z iy rr ax n
kritisiert  k rr iy t ih z iy ex t
kritisierte  k rr iy t iy z iy ex t ax
kroaten  k rr ooh aa t ax n
kroatien  k rr ao aa ts iy y eh n
kroatische  k rr ooh aa t ih sh ax
kroatischen  k rr ao q aa t ih sh ax n
kroch  k rr ao x
krochen  k rr ao x ax n
krokodile  k rr ooh k ooh d iy l ax
krokus  k rr ooh k uh s
kronawitter  k rr ooh n aa v ih t ex
krondiamant  k rr ooh n d iy aa m aa n t
krone  k rr ooh n ax
kronen  k rr ooh n ax n
kronleuchter  k rr ooh n l oy cc t ex
kronleuchtern  k rr ooh n l oy cc t ex n
kronländern  k rr ooh n l eh n d ex n
krug  k rr uw k
krummbärtige  k rr uh m b eh ex t ih g ax
kruste  k rr uh s t ax
kryptoanalyse  k rr ue p t ooh aa n aa l ue z ax
kryptografie  k rr ue p t ooh g rr aa f iy
kryptografische  k rr yy p t ooh g rr aa f ih sh ax
kryptografischen  k rr ue p t ooh g rr aa f ih sh ax n
kryptografisches  k rr ue p t ooh g rr aa f ih sh ax s
kryptosystem  k rr ue p t ooh s ue s t ee m
kryptosysteme  k rr ue p t ooh s ih s t eh m ax
kryptosystemen  k rr yy p t ooh s ue s t ee m ax n
krächzende  k rr eh cc ts ax n d ax
kräfte  k rr eh f t ax
kräften  k rr eh f t ax n
kräftig  k rr eh f t ih cc
kräftigen  k rr eh f t ih g ax n
kräftiger  k rr eh f t ih g ex
kräftigeren  k rr eh f t ih g ex rr ax n
kräftigte  k rr eh f t ih cc t ax
krähen  k rr ee ax n
krähengeniste  k rr ee ax n zh ee n ih s t ax
krähengenistes  k rr ee ax n g eh n ih s t ax s
krähenhorst  k rr ee ax n hh ao ex s t
krähenkolonie  k rr ee ax ng k ao l ooh n iy
krämpfe  k rr eh m pf ax
kränken  k rr eh ng k ax n
kränker  k rr eh ng k ex
kränklichen  k rr eh ng k l ih cc ax n
kränkliches  k rr eh ng k l ih cc ax s
kränkte  k rr eh ng k t ax
kränzlein  k rr eh n ts l ay n
kräuseln  k rr oy z ax l n
kräuselnden  k rr oy z ax l n d ax n
kräuselte  k rr oy z ax l t ax
kräuselten  k rr oy z ax l t ax n
kräuter  k rr oy t ex
kräutern  k rr oy t ex n
krönen  k rr ohh n ax n
krönte  k rr ohh n t ax
kröte  k rr ohh t ax
krügen  k rr ue g ax n
krüger  k rr ue g ex
krümel  k rr ue m ax l
krümelkuchen  k rr ue m ax l k uw x ax n
krümmte  k rr yy m t ax
krüppel  k rr yy p ax l
ksnapshot  k aa s n eh p sh ao t
ktouch  k aa t aa ch
kuba  k uw b aa
kubrick  k y uh b r ih k
kuchen  k uw x ax n
kuckuck  k uh k uh k
kuckucksnest  k uh k uh k s n eh s t
kugel  k uw g ax l
kugelkopf  k uw g ax l k ao pf
kuh  k uw
kulisse  k uh l ih s ax
kulte  k uh l t ax
kultur  k uh l t uw ex
kulturbürgermeister  k uh l t uw ex b yy ex g ex m ay s t ex
kultureinrichtungen  k uh l t uw ex q ay n rr ih cc t uh ng ax n
kulturell  k uh l t uw rr eh l
kulturelle  k uh l t uw rr eh l ax
kulturellen  k uh l t uw rr eh l ax n
kulturen  k uh l t uw rr ax n
kulturforschung  k uh l t uw ex f ao ex sh uh ng
kulturlandschaft  k uh l t uw ex l aa n ch aa f t
kulturliebenden  k uh l t uw ex l iy b ax n d ax n
kulturpolitik  k uh l t uw ex p ooh l iy t iy k
kumar  k uw m aa ex
kummer  k uh m ex
kummervoll  k uh m ex f ao l
kumulative  k uh m uw l aa t iy v ax
kunde  k uh n d ax
kunden  k uh n d ax n
kundgebung  k uh n t g ax b uh ng
kundgebungen  k uh n t g ax b uh ng ax n
kundgetan  k uh n t g ax t aa n
kundun  k uh n d uw n
kuneva  k uh n ee v aa
kung  k uh ng
kungfu  k uh ng f uw
kunst  k uh n s t
kunstgattung  k uh n s t g aa t uh ng
kunstgeschichte  k uh n s t g ax sh ih cc t ax
kunsthalle  k uh n s t hh aa l ax
kunstkenner  k uh n s t k eh n ex
kunststoff  k uh n s ch t ao f
kupferadern  k uh pf ex q aa d ex n
kupferleitung  k uh pf ex l ay t uh ng
kupferne  k uh pf ex n ax
kupferstich  k uh pf ex sh t ih cc
kupferstiche  k uh pf ex sh t ih cc ax
kupferstichen  k uh pf ex sh t ih cc ax n
kuppen  k uh p ax n
kurbel  k uh ex b ax l
kurden  k uh ex d ax n
kuren  k uw rr ax n
kurieren  k uw rr iy rr ax n
kurland  k uw ex l aa n t
kurländischen  k uw ex l eh n d ih sh ax n
kurowski  k uh rr ao v s k iy
kurowskis  k uh rr ao v s k ih s
kurowskische  k uh rr ao v s k ih sh ax
kurpfalzradio  k uw ex pf aa l ts rr aa d iy ooh
kurs  k uh ex s
kursbuch  k uh ex s b uw x
kurse  k uh ex z ax
kursen  k uh ex z ax n
kurt  k uh ex t
kurts  k uh ex ts
kurve  k uh ex v ax
kurven  k uh ex v ax n
kurverwaltung  k uw ex f eh ex v aa l t uh ng
kurz  k uh ex ts
kurze  k uh ex ts ax
kurzem  k uh ex ts ax m
kurzen  k uh ex ts ax n
kurzer  k uh ex ts ex
kurzes  k uh ex ts ax s
kurzfristig  k uh ex ts f rr ih s t ih cc
kurzfristigen  k uh ex ts f rr ih s t ih g ax n
kurzfristiger  k uh ex ts f rr ih s t ih g ex
kurzintervention  k uh ex ts q ih n t ex v eh n ts y ooh n
kurzum  k uh ex ts q uh m
kurzweg  k uh ex ts v ee k
kurzweil  k uh ex ts v ay l
kuscheltiere  k uh sh ax l t iy rr ax
kuss  k uh s
kusse  k uh s ax
kusshand  k uh s hh aa n t
kutsche  k uh ch ax
kutscher  k uh ch ex
kutschers  k uh ch ex s
kutschersitz  k uh ch ex z ih ts
kutschierpferden  k uh ch iy ex pf ee ex d ax n
kuvertiert  k uw v eh ex t iy ex t
kwai  k v ay
kwrite  k aa v r ay t
kybernetik  k ue b ex n ee t ih k
kybernetische  k ue b ex n ee t ih sh ax
kyoto  k iy ooh t ooh
kyprianou  k yy p rr iy aa n ooh
käfertal  k ee f ex t aa l
käfigs  k ee f ih cc s
kälte  k eh l t ax
kältegefühl  k eh l t ee g ax f ue l
kälter  k eh l t ex
kälteres  k eh l t ax rr ax s
käme  k ee m ax
kämen  k ee m ax n
kämest  k ee m ax s t
kämpfe  k eh m pf ax
kämpfen  k eh m pf ax n
kämpfend  k eh m pf ax n t
kämpfenden  k eh m pf ax n d ee n
kämpfer  k eh m pf ex
kämpferische  k eh m pf ax rr ih sh ax
kämpfte  k eh m pf t ax
kämpften  k eh m pf t ax n
kärgliche  k eh ex g l ih cc ax
kärglichen  k eh ex g l ih cc ax n
kärnten  k eh ex n t ax n
käse  k ee z ax
käsekuchen  k ee z ax k uw x ax n
kästchen  k eh s t cc ax n
käufer  k oy f ex
käufern  k oy f ex n
käuflich  k oy f l ih cc
köchin  k oe cc ih n
köchinnen  k oe cc ih n ax n
ködern  k ohh d ex n
köhler  k ohh l ex
kölmel  k oe l m ax l
köln  k oe l n
kölner  k oe l n ex
könig  k ohh n ih cc
könige  k ohh n ih g ax
königin  k ohh n iy g ih n
königlichem  k ohh n ih k l ih cc ax m
königlichen  k ohh n ih k l ih cc ax n
königliches  k ohh n ih k l ih cc ax s
königreich  k ohh n ih k rr ay cc
königreiches  k ohh n ih k rr ay cc ax s
königreichs  k ohh n ih k rr ay cc s
königs  k ohh n ih cc s
königsberg  k ohh n ih k s b eh ex k
königskrone  k ohh n ih k s k rr ooh n ax
könne  k oe n ax
können  k oe n ax n
könnens  k oe n ax n s
könnte  k oe n t ax
könnten  k oe n t ax n
könntest  k oe n t ax s t
köpfchen  k oe pf cc ax n
köpfe  k oe pf ax
köpfen  k oe pf ax n
körnchen  k ohh ex n cc ax n
körper  k oe ex p ex
körpergewicht  k oe ex p ex g ax v ih cc t
körpergewichts  k oe ex p ex g ax v ih cc ts
körperlich  k oe ex p ex l ih cc
körperliche  k oe ex p ex l ih cc ax
körperlichen  k oe ex p ex l ih cc ax n
körperlicher  k oe ex p ex l ih cc ex
körperlänge  k oe ex p ex l eh ng ax
körpermitte  k oe ex p ex m ih t ax
körpern  k oe ex p ex n
körpers  k oe ex p ex s
körperteile  k oe ex p ex t ay l ax
körperverletzung  k oe ex p ex f eh ex l eh ts uh ng
köstlich  k ohh s t l ih cc
köstliche  k ohh s t l ih cc ax
köstlichen  k ohh s t l ih cc ax n
köstlicher  k oe s t l ih cc ex
köstlichste  k oe s t l ih cc s t ax
küche  k yy cc ax
küchen  k yy cc ax n
küchengarten  k yy cc ax n g aa ex t ax n
küchenherden  k yy cc ax n hh ee ex d ax n
küchenmaschine  k yy cc ax n m aa sh iy n ax
küchentür  k yy cc ax n t ue ex
